Day,Revenue
1,52151.47
2,48449.29
3,49710.42
4,49602.54
5,51363.59
6,51180.11
7,50970.58
8,50068.92
9,51140.94
10,52444.15
11,52276.92
12,54469.06
13,53935.63
14,54806.29
15,55483.58
16,53333.96
17,54849.66
18,53995.99
19,56159.87
20,50177.9
21,53237.26
22,54868.77
23,55368.24
24,54372.16
25,51260.97
26,54408.76
27,56573.56
28,54486.45
29,55478.67
30,59301.98
31,55269.6
32,55502.31
33,56378.37
34,56637.25
35,56602.74
36,57290.4
37,54293.5
38,56599.97
39,54553.48
40,57289.1
41,58552.3
42,57230.78
43,55778.54
44,56973.43
45,61599.31
46,61057.68
47,57233.79
48,57382.71
49,58417.3
50,61270.89
51,55445.16
52,57991.14
53,60077.37
54,59998.56
55,58702.4
56,59202.8
57,60517.78
58,59182.3
59,58022.2
60,59923.01
61,60816.0
62,56330.57
63,61504.78
64,62808.26
65,60283.64
66,60456.84
67,59793.81
68,61100.09
69,60421.36
70,64564.4
71,62048.49
72,57632.96
73,63196.35
74,65619.45
75,63323.79
76,64808.73
77,63904.68
78,64652.47
79,64673.83
80,64814.04
81,63655.72
82,59706.68
83,61071.08
84,61219.2
85,58419.9
86,62710.07
87,66517.57
88,60919.42
89,65352.4
90,65057.05
91,64559.89
92,66564.74
93,64215.1
94,67437.45
95,64090.6
96,65270.02
97,64392.32
98,62918.69
99,62162.4
100,66093.87
101,67724.31
102,65602.94
103,66225.97
104,62171.41
105,66131.11
106,61280.52
107,63126.19
108,68261.97
109,65695.71
110,65953.48
111,66921.41
112,67480.67
113,65411.96
114,66607.29
115,65948.89
116,63089.05
117,65507.77
118,67105.29
119,65570.32
120,65648.25
121,68022.93
122,66837.95
123,67275.36
124,63376.8
125,67576.27
126,64514.89
127,66733.65
128,64705.99
129,68746.77
130,70587.47
131,66679.27
132,66705.66
133,69124.83
134,68249.88
135,67005.22
136,67924.8
137,71287.54
138,65922.67
139,66132.1
140,68929.64
141,71600.65
142,67764.71
143,64024.69
144,68257.19
145,66458.22
146,68491.25
147,64850.21
148,64646.37
149,67032.46
150,70958.15
151,64937.08
152,67065.52
153,64803.76
154,68335.54
155,68222.54
156,64954.77
157,70400.46
158,64002.37
159,71020.86
160,70637.48
161,68520.16
162,69720.28
163,67590.82
164,64884.79
165,68456.54
166,64859.32
167,67996.57
168,65561.43
169,70002.36
170,68827.94
171,69439.97
172,68779.42
173,71875.66
174,70173.8
175,71550.98
176,66358.19
177,67087.51
178,63340.31
179,67416.29
180,68144.01
181,69097.72
182,67181.15
183,69729.77
184,69603.59
185,67337.74
186,66382.07
187,68444.88
188,68525.96
189,67126.23
190,67837.84
191,65535.29
192,69743.07
193,69790.63
194,68514.61
195,69963.4
196,68710.78
197,71697.42
198,65888.86
199,68902.43
200,70323.13
201,71518.66
202,70138.11
203,66495.98
204,65281.33
205,68271.71
206,69355.49
207,70542.69
208,66484.06
209,69918.88
210,63365.21
211,67265.21
212,70489.19
213,66411.37
214,66612.52
215,67795.5
216,69227.78
217,66671.54
218,68866.57
219,68096.72
220,71307.74
221,68056.02
222,69112.86
223,69422.4
224,68284.74
225,70699.08
226,71151.36
227,68255.66
228,69858.32
229,67456.56
230,70479.82
231,69859.54
232,68708.78
233,70140.42
234,70711.29
235,72032.53
236,70414.05
237,71444.42
238,73527.02
239,67700.3
240,72163.02
241,68115.46
242,68501.49
243,69960.69
244,68749.41
245,68473.47
246,70038.9
247,69554.31
248,68952.62
249,68441.74
250,73262.38
251,68078.15
252,70211.02
253,72851.44
254,72305.29
255,71225.62
256,69584.31
257,70868.9
258,68734.51
259,70490.04
260,70538.87
261,70812.54
262,69725.91
263,67993.61
264,73973.97
265,73616.15
266,73393.74
267,72490.55
268,72165.2
269,70529.33
270,70836.76
271,75016.31
272,75568.08
273,71930.91
274,72407.57
275,73965.8
276,72790.68
277,73045.89
278,72693.78
279,71044.73
280,72282.89
281,72871.56
282,68210.14
283,73538.28
284,78122.76
285,72734.73
286,73777.01
287,72148.53
288,71761.88
289,73451.12
290,75453.94
291,73851.32
292,73696.56
293,75563.21
294,75100.91
295,75389.36
296,77342.88
297,77224.41
298,78220.84
299,72939.27
300,77216.36
301,78931.74
302,72514.35
303,75880.35
304,74976.18
305,76157.51
306,78644.87
307,73705.44
308,77134.12
309,75663.39
310,79297.59
311,77935.06
312,76929.78
313,75962.29
314,82868.77
315,78268.25
316,75025.23
317,76401.43
318,79007.01
319,76881.66
320,77288.69
321,80636.59
322,80622.6
323,77849.41
324,81498.56
325,77901.61
326,82876.85
327,80732.71
328,80406.73
329,79226.39
330,78949.19
331,75684.83
332,79921.68
333,80661.93
334,77204.44
335,82677.89
336,80885.59
337,83811.67
338,80191.53
339,84208.96
340,81015.97
341,81991.99
342,82702.91
343,82368.05
344,83240.33
345,78963.29
346,82714.88
347,83014.55
348,79384.63
349,84825.15
350,81900.53
351,85791.29
352,84262.3
353,83125.91
354,86468.25
355,87967.27
356,84905.47
357,87763.38
358,84846.71
359,87309.14
360,84835.22
361,89407.77
362,88096.52
363,87068.58
364,81246.19
365,87397.63
